role,edge_idx,Q_down_kw,mdot_design_kg_per_s,chosen_DN,inner_diameter_mm,v_calc_m_per_s,v_limit_ms,v_abs_max_ms,dp_per_m_est_pa,dp_per_m_max_pa,status,building_id,Q_building_kw
service,,,0.036078299599704794,50,50.0,0.01894281144624616,1.2,2.5,0.24246798651195084,200.0,ok,DEBBAL520000w9Er,6.032291693070642
service,,,0.3074187736591973,50,50.0,0.1614093770791251,1.2,2.5,9.125641002420652,200.0,ok,DEBBAL520000w9Ev,51.400418955817784
service,,,0.5104070835089164,50,50.0,0.2679878278913381,1.2,2.5,22.61819386832894,200.0,ok,DEBBAL520000w9Et,85.34006436269082
service,,,0.3444417987261272,50,50.0,0.1808482140197174,1.2,2.5,11.167633992633574,200.0,ok,DEBBAL520000w9EI,57.590668747008465
service,,,0.3038441367561834,50,50.0,0.15953252385727482,1.2,2.5,8.938542461990595,200.0,ok,DEBBAL520000w9EG,50.80273966563386
service,,,0.353378390983662,50,50.0,0.18554034707434314,1.2,2.5,11.688864120470246,200.0,ok,DEBBAL520000w9EH,59.08486697246829
service,,,0.3071634424518392,50,50.0,0.16127531613470722,1.2,2.5,9.11221785046159,200.0,ok,DEBBAL520000w9EO,51.35772757794751
service,,,0.3040994679635416,50,50.0,0.15966658480169274,1.2,2.5,8.951847653574982,200.0,ok,DEBBAL520000w9ES,50.845431043504156
service,,,0.5272589431945535,50,50.0,0.27683585022291807,1.2,2.5,23.988012699637046,200.0,ok,DEBBAL520000w9EN,88.15769530212934
service,,,0.30461013037825785,50,50.0,0.15993470669052848,1.2,2.5,8.978485271067266,200.0,ok,DEBBAL520000w9F1,50.93081379924471
service,,,0.28137499050866727,50,50.0,0.14773516074850154,1.2,2.5,7.803327802581701,200.0,ok,DEBBAL520000w9F7,47.045898413049166
service,,,0.6421579865057152,50,50.0,0.33716327521096306,1.2,2.5,34.3318840503823,200.0,ok,DEBBAL520000w9F0,107.36881534375557
service,,,0.30103549347524383,50,50.0,0.15805785346867815,1.2,2.5,8.792784742186592,200.0,ok,DEBBAL520000w9Fk,50.33313450906077
service,,,0.33550520646859233,50,50.0,0.17615608096509164,1.2,2.5,10.65739468949832,200.0,ok,DEBBAL520000w9Fp,56.09647052154864
service,,,0.04935552238232794,50,50.0,0.025913980555975817,1.2,2.5,0.3316989511164904,200.0,ok,DEBBAL520000w9Fl,8.252243342325231
service,,,0.3549103782278109,50,50.0,0.18634471274085043,1.2,2.5,11.779319573148571,200.0,ok,DEBBAL520000w9Fw,59.34101523968998
service,,,0.3837628046592804,50,50.0,0.20149359946007067,1.2,2.5,13.542926969290011,200.0,ok,DEBBAL520000w9FA,64.16514093903169
service,,,0.2885242643146952,50,50.0,0.15148886719220217,1.2,2.5,8.156873455373379,200.0,ok,DEBBAL520000w9FD,48.24125699341703
service,,,0.3339732192244435,50,50.0,0.17535171529858437,1.2,2.5,10.571030566512562,200.0,ok,DEBBAL520000w9FG,55.84032225432695
service,,,0.026554445565246276,50,50.0,0.01394233821945931,1.2,2.5,0.1784619292090791,200.0,ok,DEBBAL520000w9FH,4.4399032985091775
service,,,0.05075984402279768,50,50.0,0.026651315750274136,1.2,2.5,0.34113684160350893,200.0,ok,DEBBAL520000w9E2,8.487045920611772
service,,,0.0931958906857201,50,50.0,0.04893224471252546,1.2,2.5,1.1609012361966193,200.0,ok,DEBBAL520000w9FN,15.582352922652401
service,,,0.2788216784350859,50,50.0,0.14639455130432275,1.2,2.5,7.678799025262237,200.0,ok,DEBBAL520000w9FS,46.618984634346354
service,,,0.2762683663615045,50,50.0,0.14505394186014398,1.2,2.5,7.555186115401103,200.0,ok,DEBBAL520000w9FU,46.19207085564355
service,,,0.4887039308834747,50,50.0,0.2565926476158184,1.2,2.5,20.909875434852605,200.0,ok,DEBBAL520000w9FV,81.71129724371697
service,,,0.41108324384660105,50,50.0,0.21583812051278356,1.2,2.5,15.317520961628576,200.0,ok,DEBBAL520000w9FX,68.73311837115169
service,,,0.2285214305855329,50,50.0,0.1199845452540008,1.2,2.5,5.4135314975670505,200.0,ok,DEBBAL520000w9FW,38.2087831939011
service,,,0.2691190925554767,50,50.0,0.14130023541644343,1.2,2.5,7.213949946672242,200.0,ok,DEBBAL520000w9G0,44.996712275275705
service,,,0.3166106971240903,50,50.0,0.16623557107816875,1.2,2.5,9.614908555908684,200.0,ok,DEBBAL520000w9G2,52.937308559147894
service,,,0.43865901424127984,50,50.0,0.23031670250991437,1.2,2.5,17.211314882712696,200.0,ok,DEBBAL520000w9G3,73.34378718114199
service,,,0.4782353513817912,50,50.0,0.2510961488946855,1.2,2.5,20.108388869557572,200.0,ok,DEBBAL520000w9G4,79.96095075103548
service,,,0.26452313082303025,50,50.0,0.1388871384169216,1.2,2.5,6.998388468967103,200.0,ok,DEBBAL520000w9G7,44.22826747361066
service,,,0.30256748071939277,50,50.0,0.15886221913518547,1.2,2.5,8.872152705814754,200.0,ok,DEBBAL520000w9Gk,50.58928277628247
service,,,0.3431651426893365,50,50.0,0.18017790929762803,1.2,2.5,11.094069152513365,200.0,ok,DEBBAL520000w9Gl,57.377211857657066
service,,,0.32861126386992257,50,50.0,0.1725364354658089,1.2,2.5,10.271307811397406,200.0,ok,DEBBAL520000w9Gn,54.94380331905106
service,,,0.301290824682602,50,50.0,0.15819191441309602,1.2,2.5,8.805990021927014,200.0,ok,DEBBAL520000w9Go,50.375825886931054
service,,,0.013787885197339415,50,50.0,0.0072392909985654124,1.2,2.5,0.09266292478163726,200.0,ok,DEBBAL520000w9Gs,2.30533440499515
service,,,0.25201190166248144,50,50.0,0.13231815214044554,1.2,2.5,6.426717039987744,200.0,ok,DEBBAL520000w9Gr,42.1363899579669
service,,,0.29975883743845316,50,50.0,0.15738754874658875,1.2,2.5,8.726894670732634,200.0,ok,DEBBAL520000w9Gu,50.11967761970937
service,,,0.6734871256485586,50,50.0,0.3536125530910367,1.2,2.5,37.454548610390454,200.0,ok,DEBBAL010009Wc0l,112.607047408439
service,,,0.23311739231797932,50,50.0,0.12239764225352259,1.2,2.5,5.6055563987417765,200.0,ok,DEBBAL520000w9GB,38.977227995566146
service,,,0.2502245832109745,50,50.0,0.1313797255295204,1.2,2.5,6.346861644525162,200.0,ok,DEBBAL520000w9GD,41.83755031287494
service,,,0.030435479917089964,50,50.0,0.01598006457461106,1.2,2.5,0.20454482655502151,200.0,ok,DEBBAL520000w9GF,5.0888122421374415
service,,,0.029209890121770905,50,50.0,0.015336572041405242,1.2,2.5,0.19630812212998705,200.0,ok,DEBBAL520000w9GH,4.883893628360095
service,,,0.025788451943171864,50,50.0,0.013540155386205675,1.2,2.5,0.17331398894343264,200.0,ok,DEBBAL520000w9GK,4.311829164898336
service,,,0.0327334607833132,50,50.0,0.017186613074371956,1.2,2.5,0.219988647351961,200.0,ok,DEBBAL520000w9GN,5.473034642969966
service,,,0.020375430347179358,50,50.0,0.010698063364546666,1.2,2.5,0.13693521106619733,200.0,ok,DEBBAL520000w9vF,3.4067719540483887
service,,,0.2050309595085843,50,50.0,0.10765093836755606,1.2,2.5,4.47960911915773,200.0,ok,DEBBAL520000w9vV,34.28117642983529
service,,,0.5987516812548321,50,50.0,0.314372914659924,1.2,2.5,30.218991048527048,200.0,ok,DEBBAL520000w9w2,100.11128110580792
service,,,0.20120099139821218,50,50.0,0.10564002420128785,1.2,2.5,4.334923556564075,200.0,ok,DEBBAL520000w9w4,33.640805761781074
service,,,0.204520297093868,50,50.0,0.10738281647872029,1.2,2.5,4.460194269299879,200.0,ok,DEBBAL520000w9wh,34.19579367409472
service,,,0.42716910991016366,50,50.0,0.22428396001110987,1.2,2.5,16.409739974246452,200.0,ok,DEBBAL520000w9wc,71.42267517697937
service,,,0.4391696766559962,50,50.0,0.2305848243987502,1.2,2.5,17.247354005913014,200.0,ok,DEBBAL520000w9wl,73.42916993688256
service,,,0.20477562830122606,50,50.0,0.10751687742313812,1.2,2.5,4.46989694995428,200.0,ok,DEBBAL520000w9wt,34.238485051965
service,,,0.45704286117106574,50,50.0,0.23996909050800158,1.2,2.5,18.530860074752418,200.0,ok,DEBBAL520000w9wv,76.41756638780218
service,,,0.3268239454184157,50,50.0,0.1715980088548838,1.2,2.5,10.172283004590845,200.0,ok,DEBBAL520000w9wD,54.644963673959104
service,,,0.17898717635805428,50,50.0,0.0939767220369325,1.2,2.5,3.538111504442932,200.0,ok,DEBBAL520000w9wJ,29.926655887066673
service,,,0.669223094485678,50,50.0,0.3513737353192583,1.2,2.5,37.02195874677193,200.0,ok,DEBBAL520000w9wQ,111.89410139800535
service,,,0.5356848730373721,50,50.0,0.28125986138870807,1.2,2.5,24.68710752793646,200.0,ok,DEBBAL520000w9x3,89.56651077184861
