segment_order,direction,pipe_idx,pipe_name,from_junction_idx,to_junction_idx,from_junction_name,to_junction_name,velocity_m_per_s,diameter_mm,length_m
63,supply_trunk_plant_to_leaf,230,pipe_S_456440.5_5734208.9_to_456455.2_5734212.5,206,208,S_456440.5_5734208.9,S_456455.2_5734212.5,0.7308271631436493,100.0,15.132303195677332
64,supply_trunk_plant_to_leaf,232,pipe_S_456455.2_5734212.5_to_456461.2_5734213.9,208,210,S_456455.2_5734212.5,S_456461.2_5734213.9,0.7281056857234348,100.0,6.19216440334586
65,supply_trunk_plant_to_leaf,234,pipe_S_456461.2_5734213.9_to_456473.8_5734217.0,210,212,S_456461.2_5734213.9,S_456473.8_5734217.0,0.7246512955722318,100.0,12.930034802805283
66,supply_trunk_plant_to_leaf,4,pipe_S_456473.8_5734217.0_to_456502.2_5734222.1,212,214,S_456473.8_5734217.0,S_456502.2_5734222.1,0.7246512955722318,100.0,28.92672293917086
67,supply_trunk_plant_to_leaf,6,pipe_S_456502.2_5734222.1_to_456526.7_5734226.5,214,216,S_456502.2_5734222.1,S_456526.7_5734226.5,0.7225010589570525,100.0,24.81145904609925
68,supply_trunk_plant_to_leaf,238,pipe_S_456526.7_5734226.5_to_456531.2_5734227.2,216,218,S_456526.7_5734226.5,S_456531.2_5734227.2,0.7225010589570525,100.0,4.63441474199382
69,supply_trunk_plant_to_leaf,240,pipe_S_456531.2_5734227.2_to_456540.7_5734228.8,218,220,S_456531.2_5734227.2,S_456540.7_5734228.8,0.7008639662002981,100.0,9.635460549350027
70,supply_trunk_plant_to_leaf,242,pipe_S_456540.7_5734228.8_to_456552.6_5734230.9,220,222,S_456540.7_5734228.8,S_456552.6_5734230.9,0.6376771884735367,100.0,12.07841877083345
71,supply_trunk_plant_to_leaf,244,pipe_S_456552.6_5734230.9_to_456556.1_5734231.5,222,224,S_456552.6_5734230.9,S_456556.1_5734231.5,0.6164442755316655,100.0,3.5395197413998356
72,supply_trunk_plant_to_leaf,246,pipe_S_456556.1_5734231.5_to_456569.9_5734233.8,224,226,S_456556.1_5734231.5,S_456569.9_5734233.8,0.5713647535116776,100.0,14.006844755305826
73,supply_trunk_plant_to_leaf,248,pipe_S_456569.9_5734233.8_to_456572.2_5734234.2,226,228,S_456569.9_5734233.8,S_456572.2_5734234.2,0.5250188014050551,100.0,2.3426907605844454
74,supply_trunk_plant_to_leaf,250,pipe_S_456572.2_5734234.2_to_456586.1_5734236.5,228,230,S_456572.2_5734234.2,S_456586.1_5734236.5,0.503435599290285,100.0,14.066005118695694
75,supply_trunk_plant_to_leaf,252,pipe_S_456586.1_5734236.5_to_456592.4_5734237.6,230,232,S_456586.1_5734236.5,S_456592.4_5734237.6,0.455203474714207,100.0,6.400078124570698
76,supply_trunk_plant_to_leaf,254,pipe_S_456592.4_5734237.6_to_456599.6_5734238.8,232,234,S_456592.4_5734237.6,S_456599.6_5734238.8,0.43359332727844474,100.0,7.251661878510525
77,supply_trunk_plant_to_leaf,256,pipe_S_456599.6_5734238.8_to_456615.3_5734241.5,234,236,S_456599.6_5734238.8,S_456615.3_5734241.5,0.3991033164084002,100.0,15.94346261010808
78,supply_trunk_plant_to_leaf,258,pipe_S_456615.3_5734241.5_to_456616.7_5734241.7,236,238,S_456615.3_5734241.5,S_456616.7_5734241.7,0.3284796300877854,100.0,1.408900280447297
79,supply_trunk_plant_to_leaf,260,pipe_S_456616.7_5734241.7_to_456630.4_5734244.0,238,240,S_456616.7_5734241.7,S_456630.4_5734244.0,0.3095909600722376,100.0,13.885189951784067
80,supply_trunk_plant_to_leaf,262,pipe_S_456630.4_5734244.0_to_456635.7_5734244.9,240,242,S_456630.4_5734244.0,S_456635.7_5734244.9,0.2530596766305551,100.0,5.4251728083464235
81,supply_trunk_plant_to_leaf,12,pipe_S_456635.7_5734244.9_to_456646.1_5734246.2,242,244,S_456635.7_5734244.9,S_456646.1_5734246.2,0.2530596766305551,100.0,10.473662205792136
82,supply_trunk_plant_to_leaf,14,pipe_S_456646.1_5734246.2_to_456648.1_5734246.4,244,246,S_456646.1_5734246.2,S_456648.1_5734246.4,0.21029745221589832,100.0,1.9734487578499145
83,supply_trunk_plant_to_leaf,38,pipe_S_456648.1_5734246.4_to_456660.5_5734248.0,246,248,S_456648.1_5734246.4,S_456660.5_5734248.0,0.21029745221589832,100.0,12.549856572848789
84,supply_trunk_plant_to_leaf,40,pipe_S_456660.5_5734248.0_to_456668.3_5734248.9,248,250,S_456660.5_5734248.0,S_456668.3_5734248.9,0.16589156322071597,100.0,7.811715560673993
85,supply_trunk_plant_to_leaf,52,pipe_S_456668.3_5734248.9_to_456690.3_5734251.4,250,252,S_456668.3_5734248.9,S_456690.3_5734251.4,0.16589156322071597,100.0,22.17686181589854
86,supply_trunk_plant_to_leaf,22,pipe_S_456690.3_5734251.4_to_456692.4_5734251.6,252,254,S_456690.3_5734251.4,S_456692.4_5734251.6,0.16589156322071597,100.0,2.1204244857870798
87,supply_trunk_plant_to_leaf,24,pipe_S_456692.4_5734251.6_to_456705.1_5734252.9,254,256,S_456692.4_5734251.6,S_456705.1_5734252.9,0.16075039597539995,100.0,12.73550156058579
88,supply_trunk_plant_to_leaf,26,pipe_S_456705.1_5734252.9_to_456705.3_5734252.9,256,258,S_456705.1_5734252.9,S_456705.3_5734252.9,0.15560114513378626,100.0,0.1513274594682126
89,supply_trunk_plant_to_leaf,28,pipe_S_456705.3_5734252.9_to_456720.8_5734254.5,258,260,S_456705.3_5734252.9,S_456720.8_5734254.5,0.15117672342686334,100.0,15.589259122909743
90,supply_trunk_plant_to_leaf,30,pipe_S_456720.8_5734254.5_to_456730.6_5734255.5,260,264,S_456720.8_5734254.5,S_456730.6_5734255.5,0.14659871339028477,100.0,9.8807337783778
91,supply_trunk_plant_to_leaf,32,pipe_S_456730.6_5734255.5_to_456748.7_5734257.3,264,266,S_456730.6_5734255.5,S_456748.7_5734257.3,0.1425057191315662,100.0,18.172377389897616
92,supply_trunk_plant_to_leaf,34,pipe_S_456748.7_5734257.3_to_456764.3_5734258.9,266,268,S_456748.7_5734257.3,S_456764.3_5734258.9,0.13824835841479508,100.0,15.720613855697975
93,supply_trunk_plant_to_leaf,18,pipe_S_456764.3_5734258.9_to_456727.9_5734211.4,268,262,S_456764.3_5734258.9,S_456727.9_5734211.4,0.0007463853914845584,100.0,59.913312376992934
1,return_trunk_leaf_to_plant,19,pipe_R_456727.9_5734211.4_to_456764.3_5734258.9,263,269,R_456727.9_5734211.4,R_456764.3_5734258.9,0.000729189213951233,100.0,59.913312376992934
2,return_trunk_leaf_to_plant,35,pipe_R_456764.3_5734258.9_to_456748.7_5734257.3,269,267,R_456764.3_5734258.9,R_456748.7_5734257.3,0.1350632166072055,100.0,15.720613855697975
3,return_trunk_leaf_to_plant,33,pipe_R_456748.7_5734257.3_to_456730.6_5734255.5,267,265,R_456748.7_5734257.3,R_456730.6_5734255.5,0.13922249082396704,100.0,18.172377389897616
4,return_trunk_leaf_to_plant,31,pipe_R_456730.6_5734255.5_to_456720.8_5734254.5,265,261,R_456730.6_5734255.5,R_456720.8_5734254.5,0.14322118546653714,100.0,9.8807337783778
5,return_trunk_leaf_to_plant,29,pipe_R_456720.8_5734254.5_to_456705.3_5734252.9,261,259,R_456720.8_5734254.5,R_456705.3_5734252.9,0.1476937214755738,100.0,15.589259122909743
6,return_trunk_leaf_to_plant,27,pipe_R_456705.3_5734252.9_to_456705.1_5734252.9,259,257,R_456705.3_5734252.9,R_456705.1_5734252.9,0.1520162077185627,100.0,0.1513274594682126
7,return_trunk_leaf_to_plant,25,pipe_R_456705.1_5734252.9_to_456692.4_5734251.6,257,255,R_456705.1_5734252.9,R_456692.4_5734251.6,0.15704682355921543,100.0,12.73550156058579
8,return_trunk_leaf_to_plant,23,pipe_R_456692.4_5734251.6_to_456690.3_5734251.4,255,253,R_456692.4_5734251.6,R_456690.3_5734251.4,0.1620695420437604,100.0,2.1204244857870798
9,return_trunk_leaf_to_plant,53,pipe_R_456690.3_5734251.4_to_456668.3_5734248.9,253,251,R_456690.3_5734251.4,R_456668.3_5734248.9,0.1620695420437604,100.0,22.17686181589854
10,return_trunk_leaf_to_plant,41,pipe_R_456668.3_5734248.9_to_456660.5_5734248.0,251,249,R_456668.3_5734248.9,R_456660.5_5734248.0,0.1620695420437604,100.0,7.811715560673993
11,return_trunk_leaf_to_plant,39,pipe_R_456660.5_5734248.0_to_456648.1_5734246.4,249,247,R_456660.5_5734248.0,R_456648.1_5734246.4,0.20545235159580486,100.0,12.549856572848789
12,return_trunk_leaf_to_plant,15,pipe_R_456648.1_5734246.4_to_456646.1_5734246.2,247,245,R_456648.1_5734246.4,R_456646.1_5734246.2,0.20545235159580486,100.0,1.9734487578499145
13,return_trunk_leaf_to_plant,13,pipe_R_456646.1_5734246.2_to_456635.7_5734244.9,245,243,R_456646.1_5734246.2,R_456635.7_5734244.9,0.24722936540593507,100.0,10.473662205792136
14,return_trunk_leaf_to_plant,263,pipe_R_456635.7_5734244.9_to_456630.4_5734244.0,243,241,R_456635.7_5734244.9,R_456630.4_5734244.0,0.24722936540593507,100.0,5.4251728083464235
15,return_trunk_leaf_to_plant,261,pipe_R_456630.4_5734244.0_to_456616.7_5734241.7,241,239,R_456630.4_5734244.0,R_456616.7_5734241.7,0.3024582091196422,100.0,13.885189951784067
16,return_trunk_leaf_to_plant,259,pipe_R_456616.7_5734241.7_to_456615.3_5734241.5,239,237,R_456616.7_5734241.7,R_456615.3_5734241.5,0.32091169789147667,100.0,1.408900280447297
17,return_trunk_leaf_to_plant,257,pipe_R_456615.3_5734241.5_to_456599.6_5734238.8,237,235,R_456615.3_5734241.5,R_456599.6_5734238.8,0.3899082657530717,100.0,15.94346261010808
18,return_trunk_leaf_to_plant,255,pipe_R_456599.6_5734238.8_to_456592.4_5734237.6,235,233,R_456599.6_5734238.8,R_456592.4_5734237.6,0.4236036518129121,100.0,7.251661878510525
19,return_trunk_leaf_to_plant,253,pipe_R_456592.4_5734237.6_to_456586.1_5734236.5,233,231,R_456592.4_5734237.6,R_456586.1_5734236.5,0.4447159171410308,100.0,6.400078124570698
